title,genres
"Devil's Advocate, The (1997)","['Crime', 'Horror', 'Mystery', 'Thriller']"
"Quiet Man, The (1952)","['Comedy', 'Romance']"
Muppet Treasure Island (1996),"['Action', 'Adventure', 'Comedy', 'Musical', 'Thriller']"
Bogus (1996),"[""Children's"", 'Drama', 'Fantasy']"
Annie Hall (1977),"['Comedy', 'Romance']"
Swimming with Sharks (1995),"['Comedy', 'Drama']"
My Fair Lady (1964),"['Musical', 'Romance']"
In the Name of the Father (1993),['Drama']
"Terminator, The (1984)","['Action', 'Sci-Fi', 'Thriller']"
"Shining, The (1980)",['Horror']
True Lies (1994),"['Action', 'Adventure', 'Comedy', 'Romance']"
Amistad (1997),['Drama']
Mimic (1997),"['Sci-Fi', 'Thriller']"
"Devil's Own, The (1997)","['Action', 'Drama', 'Thriller', 'War']"
2001: A Space Odyssey (1968),"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
My Family (1995),['Drama']
Courage Under Fire (1996),"['Drama', 'War']"
Pump Up the Volume (1990),['Drama']
Homeward Bound: The Incredible Journey (1993),"['Adventure', ""Children's""]"
Tales From the Crypt Presents: Demon Knight (1995),['Horror']
One Fine Day (1996),"['Drama', 'Romance']"
Vertigo (1958),"['Mystery', 'Thriller']"
Bio-Dome (1996),['Comedy']
Blue Sky (1994),"['Drama', 'Romance']"
Get on the Bus (1996),['Drama']
Ninotchka (1939),"['Comedy', 'Romance']"
Good Will Hunting (1997),['Drama']
Father of the Bride Part II (1995),['Comedy']
Roommates (1995),"['Comedy', 'Drama']"
"Postino, Il (1994)","['Drama', 'Romance']"
Before Sunrise (1995),"['Drama', 'Romance']"
Mary Poppins (1964),"[""Children's"", 'Comedy', 'Musical']"
Mission: Impossible (1996),"['Action', 'Adventure', 'Mystery']"
Bonnie and Clyde (1967),"['Crime', 'Drama']"
Red Rock West (1992),['Thriller']
"Rock, The (1996)","['Action', 'Adventure', 'Thriller']"
Heat (1995),"['Action', 'Crime', 'Thriller']"
Interview with the Vampire (1994),"['Drama', 'Horror']"
It Could Happen to You (1994),"['Drama', 'Romance']"
Dante's Peak (1997),"['Action', 'Thriller']"
"Good, The Bad and The Ugly, The (1966)","['Action', 'Western']"
Batman Returns (1992),"['Action', 'Adventure', 'Comedy', 'Crime']"
GoldenEye (1995),"['Action', 'Adventure', 'Thriller']"
Big Night (1996),['Drama']
Kazaam (1996),"[""Children's"", 'Comedy', 'Fantasy']"
"Abyss, The (1989)","['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
"River Wild, The (1994)","['Action', 'Thriller']"
Ghost in the Shell (Kokaku kidotai) (1995),"['Animation', 'Sci-Fi']"
Face/Off (1997),"['Action', 'Sci-Fi', 'Thriller']"
"Birds, The (1963)",['Horror']
Cool Runnings (1993),['Comedy']
"Fugitive, The (1993)","['Action', 'Thriller']"
Contact (1997),"['Drama', 'Sci-Fi']"
Jackie Chan's First Strike (1996),['Action']
Jumanji (1995),"['Action', 'Adventure', ""Children's"", 'Fantasy', 'Sci-Fi']"
Cape Fear (1962),"['Film-Noir', 'Thriller']"
"Empire Strikes Back, The (1980)","['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi', 'War']"
Assassins (1995),['Thriller']
Canadian Bacon (1994),"['Comedy', 'War']"
Clockers (1995),['Drama']
Chain Reaction (1996),"['Action', 'Adventure', 'Thriller']"
When Harry Met Sally... (1989),"['Comedy', 'Romance']"
Joe's Apartment (1996),"['Comedy', 'Musical']"
Jaws 2 (1978),"['Action', 'Horror']"
Three Colors: White (1994),['Drama']
Hoop Dreams (1994),['Documentary']
Wonderland (1997),['Documentary']
"Firm, The (1993)","['Drama', 'Thriller']"
"First Wives Club, The (1996)",['Comedy']
Casablanca (1942),"['Drama', 'Romance', 'War']"
"Saint, The (1997)","['Action', 'Romance', 'Thriller']"
"Mirror Has Two Faces, The (1996)","['Comedy', 'Romance']"
My Best Friend's Wedding (1997),"['Comedy', 'Romance']"
Up Close and Personal (1996),"['Drama', 'Romance']"
Groundhog Day (1993),"['Comedy', 'Romance']"
"Close Shave, A (1995)","['Animation', 'Comedy', 'Thriller']"
Mars Attacks! (1996),"['Action', 'Comedy', 'Sci-Fi', 'War']"
Star Trek: The Wrath of Khan (1982),"['Action', 'Adventure', 'Sci-Fi']"
Flirting With Disaster (1996),['Comedy']
Wag the Dog (1997),"['Comedy', 'Drama']"
12 Angry Men (1957),['Drama']
"Philadelphia Story, The (1940)","['Comedy', 'Romance']"
Leave It to Beaver (1997),['Comedy']
Richard III (1995),"['Drama', 'War']"
"Godfather, The (1972)","['Action', 'Crime', 'Drama']"
Diabolique (1996),"['Drama', 'Thriller']"
Forrest Gump (1994),"['Comedy', 'Romance', 'War']"
Renaissance Man (1994),"['Comedy', 'Drama', 'War']"
Tommy Boy (1995),['Comedy']
Pete's Dragon (1977),"['Adventure', 'Animation', ""Children's"", 'Musical']"
Pink Floyd - The Wall (1982),"['Drama', 'Musical', 'War']"
Grumpier Old Men (1995),"['Comedy', 'Romance']"
Waterworld (1995),"['Action', 'Adventure']"
Mystery Science Theater 3000: The Movie (1996),"['Comedy', 'Sci-Fi']"
Delicatessen (1991),"['Comedy', 'Sci-Fi']"
Schindler's List (1993),"['Drama', 'War']"
Speed (1994),"['Action', 'Romance', 'Thriller']"
Pollyanna (1960),"[""Children's"", 'Comedy', 'Drama']"
What's Eating Gilbert Grape (1993),"['Comedy', 'Drama']"
Primal Fear (1996),"['Drama', 'Thriller']"
"Brady Bunch Movie, The (1995)",['Comedy']
Mad City (1997),"['Action', 'Drama']"
Real Genius (1985),['Comedy']
"Crow, The (1994)","['Action', 'Romance', 'Thriller']"
Twelve Monkeys (1995),"['Drama', 'Sci-Fi']"
Tie Me Up! Tie Me Down! (1990),['Drama']
Cape Fear (1991),['Thriller']
Angels in the Outfield (1994),"[""Children's"", 'Comedy']"
U Turn (1997),"['Action', 'Crime', 'Mystery']"
"Apostle, The (1997)",['Drama']
"Lawnmower Man, The (1992)","['Action', 'Sci-Fi', 'Thriller']"
Pulp Fiction (1994),"['Crime', 'Drama']"
Blade Runner (1982),"['Film-Noir', 'Sci-Fi']"
"20,000 Leagues Under the Sea (1954)","['Adventure', ""Children's"", 'Fantasy', 'Sci-Fi']"
Cliffhanger (1993),"['Action', 'Adventure', 'Crime']"
Gone with the Wind (1939),"['Drama', 'Romance', 'War']"
"Fish Called Wanda, A (1988)",['Comedy']
"Celluloid Closet, The (1995)",['Documentary']
Love Jones (1997),['Romance']
Unhook the Stars (1996),['Drama']
"Streetcar Named Desire, A (1951)",['Drama']
Clueless (1995),['Comedy']
Rudy (1993),['Drama']
"Fan, The (1996)",['Thriller']
Seven (Se7en) (1995),"['Crime', 'Thriller']"
"Great Escape, The (1963)","['Adventure', 'War']"
Jurassic Park (1993),"['Action', 'Adventure', 'Sci-Fi']"
Dumbo (1941),"['Animation', ""Children's"", 'Musical']"
Four Rooms (1995),['Thriller']
Kicking and Screaming (1995),"['Comedy', 'Drama']"
Nikita (La Femme Nikita) (1990),['Thriller']
"Grand Day Out, A (1992)","['Animation', 'Comedy']"
"Addiction, The (1995)",['Horror']
Singin' in the Rain (1952),"['Musical', 'Romance']"
"Shawshank Redemption, The (1994)",['Drama']
One Flew Over the Cuckoo's Nest (1975),['Drama']
"Maltese Falcon, The (1941)","['Film-Noir', 'Mystery']"
"People vs. Larry Flynt, The (1996)",['Drama']
Ulee's Gold (1997),['Drama']
Field of Dreams (1989),['Drama']
"MatchMaker, The (1997)","['Comedy', 'Romance']"
Fled (1996),"['Action', 'Adventure']"
Back to the Future (1985),"['Comedy', 'Sci-Fi']"
Kicked in the Head (1997),"['Comedy', 'Drama']"
Desperado (1995),"['Action', 'Romance', 'Thriller']"
Glengarry Glen Ross (1992),['Drama']
Mother (1996),['Comedy']
Alien: Resurrection (1997),"['Action', 'Horror', 'Sci-Fi']"
Star Trek VI: The Undiscovered Country (1991),"['Action', 'Adventure', 'Sci-Fi']"
Amadeus (1984),"['Drama', 'Mystery']"
Afterglow (1997),"['Drama', 'Romance']"
Alien (1979),"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
Circle of Friends (1995),"['Drama', 'Romance']"
Duck Soup (1933),"['Comedy', 'War']"
"Family Thing, A (1996)","['Comedy', 'Drama']"
Citizen Kane (1941),['Drama']
Tomorrow Never Dies (1997),"['Action', 'Romance', 'Thriller']"
"Unbearable Lightness of Being, The (1988)",['Drama']
When the Cats Away (Chacun cherche son chat) (1996),"['Comedy', 'Romance']"
Somewhere in Time (1980),"['Drama', 'Romance']"
Shadow Conspiracy (1997),['Thriller']
Bottle Rocket (1996),['Comedy']
Kingpin (1996),['Comedy']
"Peacemaker, The (1997)","['Action', 'Thriller', 'War']"
Starship Troopers (1997),"['Action', 'Adventure', 'Sci-Fi', 'War']"
It's My Party (1995),['Drama']
Once Upon a Time in America (1984),"['Crime', 'Drama', 'Thriller']"
"Indian in the Cupboard, The (1995)","['Adventure', ""Children's"", 'Fantasy']"
"Graduate, The (1967)","['Drama', 'Romance']"
Volcano (1997),"['Drama', 'Thriller']"
"Bridge on the River Kwai, The (1957)","['Drama', 'War']"
Strictly Ballroom (1992),"['Comedy', 'Romance']"
"Wrong Trousers, The (1993)","['Animation', 'Comedy']"
Eraser (1996),"['Action', 'Thriller']"
Stag (1997),"['Action', 'Thriller']"
"Game, The (1997)","['Mystery', 'Thriller']"
Twelfth Night (1996),"['Comedy', 'Drama', 'Romance']"
Coneheads (1993),"['Comedy', 'Sci-Fi']"
Miracle on 34th Street (1994),['Drama']
Bob Roberts (1992),['Comedy']
Dazed and Confused (1993),['Comedy']
"Scout, The (1994)",['Drama']
Trees Lounge (1996),['Drama']
Brazil (1985),['Sci-Fi']
"English Patient, The (1996)","['Drama', 'Romance', 'War']"
Heavenly Creatures (1994),"['Drama', 'Fantasy', 'Thriller']"
While You Were Sleeping (1995),"['Comedy', 'Romance']"
Akira (1988),"['Adventure', 'Animation', 'Sci-Fi', 'Thriller']"
Ghost (1990),"['Comedy', 'Romance', 'Thriller']"
"Cook the Thief His Wife & Her Lover, The (1989)",['Drama']
Down by Law (1986),"['Comedy', 'Drama']"
Stargate (1994),"['Action', 'Adventure', 'Sci-Fi']"
"Usual Suspects, The (1995)","['Crime', 'Thriller']"
Absolute Power (1997),"['Mystery', 'Thriller']"
Like Water For Chocolate (Como agua para chocolate) (1992),"['Drama', 'Romance']"
Lost Horizon (1937),['Drama']
Lawnmower Man 2: Beyond Cyberspace (1996),"['Sci-Fi', 'Thriller']"
That Thing You Do! (1996),['Comedy']
"Return of the Pink Panther, The (1974)",['Comedy']
Foreign Correspondent (1940),['Thriller']
"Fifth Element, The (1997)","['Action', 'Sci-Fi']"
Mulholland Falls (1996),"['Crime', 'Film-Noir', 'Thriller']"
"Blues Brothers, The (1980)","['Action', 'Comedy', 'Musical']"
"Corrina, Corrina (1994)","['Comedy', 'Drama', 'Romance']"
"Lion King, The (1994)","['Animation', ""Children's"", 'Musical']"
French Kiss (1995),"['Comedy', 'Romance']"
Aliens (1986),"['Action', 'Sci-Fi', 'Thriller', 'War']"
"Low Down Dirty Shame, A (1994)","['Action', 'Comedy']"
Free Willy (1993),"['Adventure', ""Children's"", 'Drama']"
"American Werewolf in London, An (1981)",['Horror']
"Crying Game, The (1992)","['Action', 'Drama', 'Romance', 'War']"
Home for the Holidays (1995),"['Drama', 'Romance']"
Full Metal Jacket (1987),"['Action', 'Drama', 'War']"
Little Women (1994),['Drama']
It Happened One Night (1934),['Comedy']
Dances with Wolves (1990),"['Adventure', 'Drama', 'Western']"
"Princess Bride, The (1987)","['Action', 'Adventure', 'Comedy', 'Romance']"
"Crossing Guard, The (1995)",['Drama']
To Die For (1995),"['Comedy', 'Drama']"
From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']"
Apt Pupil (1998),"['Drama', 'Thriller']"
Dial M for Murder (1954),"['Mystery', 'Thriller']"
Once Upon a Time... When We Were Colored (1995),['Drama']
Hot Shots! Part Deux (1993),"['Action', 'Comedy', 'War']"
Raising Arizona (1987),['Comedy']
Three Colors: Blue (1993),['Drama']
Crash (1996),"['Drama', 'Thriller']"
Spy Hard (1996),['Comedy']
Shine (1996),"['Drama', 'Romance']"
"Hour of the Pig, The (1993)","['Drama', 'Mystery']"
Flubber (1997),"[""Children's"", 'Comedy', 'Fantasy']"
Multiplicity (1996),['Comedy']
Ed Wood (1994),"['Comedy', 'Drama']"
Bram Stoker's Dracula (1992),"['Horror', 'Romance']"
George of the Jungle (1997),"[""Children's"", 'Comedy']"
"Hunchback of Notre Dame, The (1996)","['Animation', ""Children's"", 'Musical']"
Naked (1993),['Drama']
M*A*S*H (1970),"['Comedy', 'War']"
"Smile Like Yours, A (1997)","['Comedy', 'Romance']"
"Adventures of Pinocchio, The (1996)","['Adventure', ""Children's""]"
Pinocchio (1940),"['Animation', ""Children's""]"
"Ice Storm, The (1997)",['Drama']
Indiana Jones and the Last Crusade (1989),"['Action', 'Adventure']"
Bed of Roses (1996),"['Drama', 'Romance']"
Devil in a Blue Dress (1995),"['Crime', 'Film-Noir', 'Mystery', 'Thriller']"
"Lost World: Jurassic Park, The (1997)","['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Reservoir Dogs (1992),"['Crime', 'Thriller']"
Tank Girl (1995),"['Action', 'Comedy', 'Musical', 'Sci-Fi']"
Fallen (1998),"['Action', 'Mystery', 'Thriller']"
Highlander (1986),"['Action', 'Adventure']"
Trainspotting (1996),['Drama']
GoodFellas (1990),"['Crime', 'Drama']"
Star Wars (1977),"['Action', 'Adventure', 'Romance', 'Sci-Fi', 'War']"
Powder (1995),['Drama']
"Godfather: Part II, The (1974)","['Action', 'Crime', 'Drama']"
Evita (1996),"['Drama', 'Musical']"
Psycho (1960),"['Horror', 'Romance', 'Thriller']"
Tin Men (1987),"['Comedy', 'Drama']"
Home Alone (1990),"[""Children's"", 'Comedy']"
Ransom (1996),"['Drama', 'Thriller']"
Beautiful Girls (1996),['Drama']
Dave (1993),"['Comedy', 'Romance']"
Monty Python and the Holy Grail (1974),['Comedy']
Die Hard: With a Vengeance (1995),"['Action', 'Thriller']"
Days of Thunder (1990),"['Action', 'Romance']"
Thinner (1996),"['Horror', 'Thriller']"
Swingers (1996),"['Comedy', 'Drama']"
Fools Rush In (1997),"['Comedy', 'Romance']"
Army of Darkness (1993),"['Action', 'Adventure', 'Comedy', 'Horror', 'Sci-Fi']"
"Bridges of Madison County, The (1995)","['Drama', 'Romance']"
First Knight (1995),"['Action', 'Adventure', 'Drama', 'Romance']"
Picture Perfect (1997),"['Comedy', 'Romance']"
Muriel's Wedding (1994),"['Comedy', 'Romance']"
Dead Man (1995),['Western']
Priest (1994),['Drama']
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)","['Drama', 'Romance']"
Mary Reilly (1996),"['Drama', 'Thriller']"
Austin Powers: International Man of Mystery (1997),['Comedy']
Mallrats (1995),['Comedy']
Laura (1944),"['Crime', 'Film-Noir', 'Mystery']"
Bedknobs and Broomsticks (1971),"['Adventure', ""Children's"", 'Musical']"
Killing Zoe (1994),['Thriller']
"Spitfire Grill, The (1996)",['Drama']
"Great White Hype, The (1996)",['Comedy']
Babe (1995),"[""Children's"", 'Comedy', 'Drama']"
Quiz Show (1994),['Drama']
Kull the Conqueror (1997),"['Action', 'Adventure']"
"Last Supper, The (1995)","['Drama', 'Thriller']"
"Evening Star, The (1996)","['Comedy', 'Drama']"
"Omen, The (1976)",['Horror']
Kundun (1997),['Drama']
With Honors (1994),"['Comedy', 'Drama']"
Great Expectations (1998),"['Drama', 'Romance']"
"Line King: Al Hirschfeld, The (1996)",['Documentary']
"Professional, The (1994)","['Crime', 'Drama', 'Romance', 'Thriller']"
Michael Collins (1996),"['Drama', 'War']"
"Grifters, The (1990)","['Crime', 'Drama', 'Film-Noir']"
Shiloh (1997),"[""Children's"", 'Drama']"
Independence Day (ID4) (1996),"['Action', 'Sci-Fi', 'War']"
In & Out (1997),['Comedy']
"Hudsucker Proxy, The (1994)","['Comedy', 'Romance']"
Tin Cup (1996),"['Comedy', 'Romance']"
Jane Eyre (1996),"['Drama', 'Romance']"
Braveheart (1995),"['Action', 'Drama', 'War']"
My Fellow Americans (1996),['Comedy']
"Red Firecracker, Green Firecracker (1994)",['Drama']
Orlando (1993),['Drama']
Andre (1994),"['Adventure', ""Children's""]"
Beavis and Butt-head Do America (1996),"['Animation', 'Comedy']"
Houseguest (1994),['Comedy']
"Island of Dr. Moreau, The (1996)","['Sci-Fi', 'Thriller']"
"Juror, The (1996)","['Drama', 'Thriller']"
"Three Musketeers, The (1993)","['Action', 'Adventure', 'Comedy']"
Hamlet (1996),['Drama']
Faithful (1996),['Comedy']
Rosewood (1997),['Drama']
Mary Shelley's Frankenstein (1994),"['Drama', 'Horror']"
Mr. Magoo (1997),['Comedy']
Four Weddings and a Funeral (1994),"['Comedy', 'Romance']"
"Parent Trap, The (1961)","[""Children's"", 'Drama']"
Rising Sun (1993),"['Action', 'Drama', 'Mystery']"
Money Train (1995),['Action']
Donnie Brasco (1997),"['Crime', 'Drama']"
Bringing Up Baby (1938),['Comedy']
"Thieves (Voleurs, Les) (1996)","['Crime', 'Drama', 'Romance']"
Bushwhacked (1995),['Comedy']
Stand by Me (1986),"['Adventure', 'Comedy', 'Drama']"
Mighty Aphrodite (1995),['Comedy']
Beauty and the Beast (1991),"['Animation', ""Children's"", 'Musical']"
Jack (1996),"['Comedy', 'Drama']"
Pretty Woman (1990),"['Comedy', 'Romance']"
High Noon (1952),['Western']
Alien 3 (1992),"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
"American President, The (1995)","['Comedy', 'Drama', 'Romance']"
Amityville: A New Generation (1993),['Horror']
Sophie's Choice (1982),['Drama']
Purple Noon (1960),"['Crime', 'Thriller']"
Father of the Bride (1950),['Comedy']
101 Dalmatians (1996),"[""Children's"", 'Comedy']"
Supercop (1992),"['Action', 'Thriller']"
Michael (1996),"['Comedy', 'Romance']"
Breakdown (1997),"['Action', 'Thriller']"
I.Q. (1994),"['Comedy', 'Romance']"
So Dear to My Heart (1949),"[""Children's"", 'Drama']"
Enchanted April (1991),['Drama']
Terminal Velocity (1994),['Action']
Stalingrad (1993),['War']
"Long Kiss Goodnight, The (1996)","['Action', 'Thriller']"
Higher Learning (1995),['Drama']
East of Eden (1955),['Drama']
"Chamber, The (1996)",['Drama']
Top Gun (1986),"['Action', 'Romance']"
Living in Oblivion (1995),['Comedy']
Star Trek: The Motion Picture (1979),"['Action', 'Adventure', 'Sci-Fi']"
Booty Call (1997),"['Comedy', 'Romance']"
My Left Foot (1989),['Drama']
Touch (1997),['Romance']
Strange Days (1995),"['Action', 'Crime', 'Sci-Fi']"
What Happened Was... (1994),"['Comedy', 'Drama', 'Romance']"
Space Jam (1996),"['Adventure', 'Animation', ""Children's"", 'Comedy', 'Fantasy']"
Fried Green Tomatoes (1991),['Drama']
"Fast, Cheap & Out of Control (1997)",['Documentary']
Striptease (1996),"['Comedy', 'Crime']"
Dumb & Dumber (1994),['Comedy']
Dolores Claiborne (1994),"['Drama', 'Thriller']"
"Perfect World, A (1993)","['Action', 'Drama']"
Apollo 13 (1995),"['Action', 'Drama', 'Thriller']"
Nell (1994),['Drama']
"Madness of King George, The (1994)",['Drama']
Star Trek IV: The Voyage Home (1986),"['Action', 'Adventure', 'Sci-Fi']"
Rebel Without a Cause (1955),['Drama']
Clear and Present Danger (1994),"['Action', 'Adventure', 'Thriller']"
"Prophecy, The (1995)",['Horror']
That Darn Cat! (1997),"[""Children's"", 'Comedy', 'Mystery']"
Heathers (1989),['Comedy']
Snow White and the Seven Dwarfs (1937),"['Animation', ""Children's"", 'Musical']"
Denise Calls Up (1995),['Comedy']
Henry V (1989),"['Drama', 'War']"
Basquiat (1996),['Drama']
Excess Baggage (1997),"['Adventure', 'Romance']"
Roman Holiday (1953),"['Comedy', 'Romance']"
Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']"
Marvin's Room (1996),['Drama']
Arsenic and Old Lace (1944),"['Comedy', 'Mystery', 'Thriller']"
"Flower of My Secret, The (Flor de mi secreto, La) (1995)",['Drama']
City Hall (1996),"['Drama', 'Thriller']"
"Full Monty, The (1997)",['Comedy']
"Clockwork Orange, A (1971)",['Sci-Fi']
Amityville II: The Possession (1982),['Horror']
Menace II Society (1993),"['Action', 'Crime', 'Drama']"
Blown Away (1994),"['Action', 'Thriller']"
Chinatown (1974),"['Film-Noir', 'Mystery', 'Thriller']"
Lost Highway (1997),['Mystery']
Shadowlands (1993),"['Drama', 'Romance']"
True Romance (1993),"['Action', 'Crime', 'Romance']"
Smoke (1995),['Drama']
Bound (1996),"['Crime', 'Drama', 'Romance', 'Thriller']"
Dead Man Walking (1995),['Drama']
Sleeper (1973),"['Comedy', 'Sci-Fi']"
Under Siege (1992),['Action']
"Wild Bunch, The (1969)",['Western']
Unforgiven (1992),['Western']
"Quest, The (1996)","['Action', 'Adventure']"
Raise the Red Lantern (1991),['Drama']
"Secret of Roan Inish, The (1994)",['Adventure']
"Cable Guy, The (1996)",['Comedy']
"Rainmaker, The (1997)",['Drama']
Secrets & Lies (1996),['Drama']
Carrie (1976),['Horror']
"Very Brady Sequel, A (1996)",['Comedy']
SubUrbia (1997),['Comedy']
"Substitute, The (1996)",['Action']
Koyaanisqatsi (1983),"['Documentary', 'War']"
William Shakespeare's Romeo and Juliet (1996),"['Drama', 'Romance']"
"Thousand Acres, A (1997)",['Drama']
Romeo Is Bleeding (1993),"['Crime', 'Thriller']"
Operation Dumbo Drop (1995),"['Action', 'Adventure', 'Comedy', 'War']"
Shall We Dance? (1996),['Comedy']
Escape from L.A. (1996),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
"Misérables, Les (1995)","['Drama', 'Musical']"
Down Periscope (1996),['Comedy']
Dirty Dancing (1987),"['Musical', 'Romance']"
